PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,,Survived
25,no,Third,"Palsson, Miss. Torborg Danira",female,8,3,1,349909,21.075,,S,,0
26,yes,Third,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,31.3875,,S,,1
27,no,Third,"Emir, Mr. Farred Chehab",male,,0,0,2631,7.225,,C,,0
28,no,First,"Fortune, Mr. Charles Alexander",male,19,3,2,19950,263,C23 C25 C27,S,,0
29,yes,Third,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,0,330959,7.8792,,Q,,1
30,no,Third,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S,,0
31,no,First,"Uruchurtu, Don. Manuel E",male,40,0,0,PC 17601,27.7208,,C,,0
32,yes,First,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1,0,PC 17569,146.5208,B78,C,,1
33,yes,Third,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q,,1
34,no,Second,"Wheadon, Mr. Edward H",male,66,0,0,C.A. 24579,10.5,,S,,0
35,no,First,"Meyer, Mr. Edgar Joseph",male,28,1,0,PC 17604,82.1708,,C,,0
36,no,First,"Holverson, Mr. Alexander Oskar",male,42,1,0,113789,52,,S,,0
37,yes,Third,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C,,1
38,no,Third,"Cann, Mr. Ernest Charles",male,21,0,0,A./5. 2152,8.05,,S,,0
39,no,Third,"Vander Planke, Miss. Augusta Maria",female,18,2,0,345764,18,,S,,0
40,yes,Third,"Nicola-Yarred, Miss. Jamila",female,14,1,0,2651,11.2417,,C,,1
41,no,Third,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,1,0,7546,9.475,,S,,0
42,no,Second,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,1,0,11668,21,,S,,0
43,no,Third,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C,,0
44,yes,Second,"Laroche, Miss. Simonne Marie Anne Andree",female,3,1,2,SC/Paris 2123,41.5792,,C,,1
45,yes,Third,"Devaney, Miss. Margaret Delia",female,19,0,0,330958,7.8792,,Q,,1
46,no,Third,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,,0
47,no,Third,"Lennon, Mr. Denis",male,,1,0,370371,15.5,,Q,,0
48,yes,Third,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q,,1
49,no,Third,"Samaan, Mr. Youssef",male,,2,0,2662,21.6792,,C,,0
50,no,Third,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,1,0,349237,17.8,,S,,0
51,no,Third,"Panula, Master. Juha Niilo",male,7,4,1,3101295,39.6875,,S,,0
52,no,Third,"Nosworthy, Mr. Richard Cater",male,21,0,0,A/4. 39886,7.8,,S,,0
53,yes,First,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,1,0,PC 17572,76.7292,D33,C,,1
54,yes,Second,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,1,0,2926,26,,S,,1
55,no,First,"Ostby, Mr. Engelhart Cornelius",male,65,0,1,113509,61.9792,B30,C,,0
56,yes,First,"Woolner, Mr. Hugh",male,,0,0,19947,35.5,C52,S,,1
57,yes,Second,"Rugg, Miss. Emily",female,21,0,0,C.A. 31026,10.5,,S,,1
58,no,Third,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C,,0
59,yes,Second,"West, Miss. Constance Mirium",female,5,1,2,C.A. 34651,27.75,,S,,1
60,no,Third,"Goodwin, Master. William Frederick",male,11,5,2,CA 2144,46.9,,S,,0
61,no,Third,"Sirayanian, Mr. Orsen",male,22,0,0,2669,7.2292,,C,,0
62,yes,First,"Icard, Miss. Amelie",female,38,0,0,113572,80,B28,,,1
63,no,First,"Harris, Mr. Henry Birkhardt",male,45,1,0,36973,83.475,C83,S,,0
64,no,Third,"Skoog, Master. Harald",male,4,3,2,347088,27.9,,S,,0
65,no,First,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C,,0
66,yes,Third,"Moubarek, Master. Gerios",male,,1,1,2661,15.2458,,C,,1
67,yes,Second,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,0,C.A. 29395,10.5,F33,S,,1
68,no,Third,"Crease, Mr. Ernest James",male,19,0,0,S.P. 3464,8.1583,,S,,0
69,yes,Third,"Andersson, Miss. Erna Alexandra",female,17,4,2,3101281,7.925,,S,,1
70,no,Third,"Kink, Mr. Vincenz",male,26,2,0,315151,8.6625,,S,,0
71,no,Second,"Jenkin, Mr. Stephen Curnow",male,32,0,0,C.A. 33111,10.5,,S,,0
72,no,Third,"Goodwin, Miss. Lillian Amy",female,16,5,2,CA 2144,46.9,,S,,0
73,no,Second,"Hood, Mr. Ambrose Jr",male,21,0,0,S.O.C. 14879,73.5,,S,,0
74,no,Third,"Chronopoulos, Mr. Apostolos",male,26,1,0,2680,14.4542,,C,,0
75,yes,Third,"Bing, Mr. Lee",male,32,0,0,1601,56.4958,,S,,1
76,no,Third,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,7.65,F G73,S,,0
77,no,Third,"Staneff, Mr. Ivan",male,,0,0,349208,7.8958,,S,,0
78,no,Third,"Moutal, Mr. Rahamin Haim",male,,0,0,374746,8.05,,S,,0
79,yes,Second,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29,,S,,1
80,yes,Third,"Dowdell, Miss. Elizabeth",female,30,0,0,364516,12.475,,S,,1
81,no,Third,"Waelens, Mr. Achille",male,22,0,0,345767,9,,S,,0
82,yes,Third,"Sheerlinck, Mr. Jan Baptist",male,29,0,0,345779,9.5,,S,,1
83,yes,Third,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q,,1
84,no,First,"Carrau, Mr. Francisco M",male,28,0,0,113059,47.1,,S,,0
85,yes,Second,"Ilett, Miss. Bertha",female,17,0,0,SO/C 14885,10.5,,S,,1
86,yes,Third,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,3,0,3101278,15.85,,S,,1
87,no,Third,"Ford, Mr. William Neal",male,16,1,3,W./C. 6608,34.375,,S,,0
88,no,Third,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S,,0
89,yes,First,"Fortune, Miss. Mabel Helen",female,23,3,2,19950,263,C23 C25 C27,S,,1
90,no,Third,"Celotti, Mr. Francesco",male,24,0,0,343275,8.05,,S,,0
91,no,Third,"Christmann, Mr. Emil",male,29,0,0,343276,8.05,,S,,0
92,no,Third,"Andreasson, Mr. Paul Edvin",male,20,0,0,347466,7.8542,,S,,0
93,no,First,"Chaffee, Mr. Herbert Fuller",male,46,1,0,W.E.P. 5734,61.175,E31,S,,0
94,no,Third,"Dean, Mr. Bertram Frank",male,26,1,2,C.A. 2315,20.575,,S,,0
95,no,Third,"Coxon, Mr. Daniel",male,59,0,0,364500,7.25,,S,,0
96,no,Third,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S,,0
97,no,First,"Goldschmidt, Mr. George B",male,71,0,0,PC 17754,34.6542,A5,C,,0
98,yes,First,"Greenfield, Mr. William Bertram",male,23,0,1,PC 17759,63.3583,D10 D12,C,,1
99,yes,Second,"Doling, Mrs. John T (Ada Julia Bone)",female,34,0,1,231919,23,,S,,1
100,no,Second,"Kantor, Mr. Sinai",male,34,1,0,244367,26,,S,,0
101,no,Third,"Petranec, Miss. Matilda",female,28,0,0,349245,7.8958,,S,,0
102,no,Third,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,0,349215,7.8958,,S,,0
103,no,First,"White, Mr. Richard Frasar",male,21,0,1,35281,77.2875,D26,S,,0
104,no,Third,"Johansson, Mr. Gustaf Joel",male,33,0,0,7540,8.6542,,S,,0
105,no,Third,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,3101276,7.925,,S,,0
106,no,Third,"Mionoff, Mr. Stoytcho",male,28,0,0,349207,7.8958,,S,,0
107,yes,Third,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,343120,7.65,,S,,1
108,yes,Third,"Moss, Mr. Albert Johan",male,,0,0,312991,7.775,,S,,1
109,no,Third,"Rekic, Mr. Tido",male,38,0,0,349249,7.8958,,S,,0
110,yes,Third,"Moran, Miss. Bertha",female,,1,0,371110,24.15,,Q,,1
111,no,First,"Porter, Mr. Walter Chamberlain",male,47,0,0,110465,52,C110,S,,0
112,no,Third,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C,,0
113,no,Third,"Barton, Mr. David John",male,22,0,0,324669,8.05,,S,,0
114,no,Third,"Jussila, Miss. Katriina",female,20,1,0,4136,9.825,,S,,0
115,no,Third,"Attalah, Miss. Malake",female,17,0,0,2627,14.4583,,C,,0
116,no,Third,"Pekoniemi, Mr. Edvard",male,21,0,0,STON/O 2. 3101294,7.925,,S,,0
117,no,Third,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,,Q,,0
118,no,Second,"Turpin, Mr. William John Robert",male,29,1,0,11668,21,,S,,0
119,no,First,"Baxter, Mr. Quigg Edmond",male,24,0,1,PC 17558,247.5208,B58 B60,C,,0
120,no,Third,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,347082,31.275,,S,,0
121,no,Second,"Hickman, Mr. Stanley George",male,21,2,0,S.O.C. 14879,73.5,,S,,0
122,no,Third,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,,S,,0
123,no,Second,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,,C,,0
124,yes,Second,"Webber, Miss. Susan",female,32.5,0,0,27267,13,E101,S,,1
125,no,First,"White, Mr. Percival Wayland",male,54,0,1,35281,77.2875,D26,S,,0
126,yes,Third,"Nicola-Yarred, Master. Elias",male,12,1,0,2651,11.2417,,C,,1
127,no,Third,"McMahon, Mr. Martin",male,,0,0,370372,7.75,,Q,,0
128,yes,Third,"Madsen, Mr. Fridtjof Arne",male,24,0,0,C 17369,7.1417,,S,,1
129,yes,Third,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C,,1
130,no,Third,"Ekstrom, Mr. Johan",male,45,0,0,347061,6.975,,S,,0
131,no,Third,"Drazenoic, Mr. Jozef",male,33,0,0,349241,7.8958,,C,,0
132,no,Third,"Coelho, Mr. Domingos Fernandeo",male,20,0,0,SOTON/O.Q. 3101307,7.05,,S,,0
133,no,Third,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0,A/5. 3337,14.5,,S,,0
134,yes,Second,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0,228414,26,,S,,1
135,no,Second,"Sobey, Mr. Samuel James Hayden",male,25,0,0,C.A. 29178,13,,S,,0
136,no,Second,"Richard, Mr. Emile",male,23,0,0,SC/PARIS 2133,15.0458,,C,,0
137,yes,First,"Newsom, Miss. Helen Monypeny",female,19,0,2,11752,26.2833,D47,S,,1
138,no,First,"Futrelle, Mr. Jacques Heath",male,37,1,0,113803,53.1,C123,S,,0
139,no,Third,"Osen, Mr. Olaf Elon",male,16,0,0,7534,9.2167,,S,,0
140,no,First,"Giglio, Mr. Victor",male,24,0,0,PC 17593,79.2,B86,C,,0
141,no,Third,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,15.2458,,C,,0
142,yes,Third,"Nysten, Miss. Anna Sofia",female,22,0,0,347081,7.75,,S,,1
143,yes,Third,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0,STON/O2. 3101279,15.85,,S,,1
144,no,Third,"Burke, Mr. Jeremiah",male,19,0,0,365222,6.75,,Q,,0
145,no,Second,"Andrew, Mr. Edgardo Samuel",male,18,0,0,231945,11.5,,S,,0
146,no,Second,"Nicholls, Mr. Joseph Charles",male,19,1,1,C.A. 33112,36.75,,S,,0
147,yes,Third,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27,0,0,350043,7.7958,,S,,1
148,no,Third,"Ford, Miss. Robina Maggie ""Ruby""",female,9,2,2,W./C. 6608,34.375,,S,,0
149,no,Second,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26,F2,S,,0
150,no,Second,"Byles, Rev. Thomas Roussel Davids",male,42,0,0,244310,13,,S,,0
151,no,Second,"Bateman, Rev. Robert James",male,51,0,0,S.O.P. 1166,12.525,,S,,0
152,yes,First,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,113776,66.6,C2,S,,1
153,no,Third,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,,S,,0
154,no,Third,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,,S,,0
155,no,Third,"Olsen, Mr. Ole Martin",male,,0,0,Fa 265302,7.3125,,S,,0
156,no,First,"Williams, Mr. Charles Duane",male,51,0,1,PC 17597,61.3792,,C,,0
157,yes,Third,"Gilnagh, Miss. Katherine ""Katie""",female,16,0,0,35851,7.7333,,Q,,1
158,no,Third,"Corn, Mr. Harry",male,30,0,0,SOTON/OQ 392090,8.05,,S,,0
159,no,Third,"Smiljanic, Mr. Mile",male,,0,0,315037,8.6625,,S,,0
160,no,Third,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,69.55,,S,,0
161,no,Third,"Cribb, Mr. John Hatfield",male,44,0,1,371362,16.1,,S,,0
162,yes,Second,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40,0,0,C.A. 33595,15.75,,S,,1
163,no,Third,"Bengtsson, Mr. John Viktor",male,26,0,0,347068,7.775,,S,,0
164,no,Third,"Calic, Mr. Jovo",male,17,0,0,315093,8.6625,,S,,0
165,no,Third,"Panula, Master. Eino Viljami",male,1,4,1,3101295,39.6875,,S,,0
166,yes,Third,"Goldsmith, Master. Frank John William ""Frankie""",male,9,0,2,363291,20.525,,S,,1
167,yes,First,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,113505,55,E33,S,,1
168,no,Third,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,4,347088,27.9,,S,,0
169,no,First,"Baumann, Mr. John D",male,,0,0,PC 17318,25.925,,S,,0
170,no,Third,"Ling, Mr. Lee",male,28,0,0,1601,56.4958,,S,,0
171,no,First,"Van der hoef, Mr. Wyckoff",male,61,0,0,111240,33.5,B19,S,,0
172,no,Third,"Rice, Master. Arthur",male,4,4,1,382652,29.125,,Q,,0
173,yes,Third,"Johnson, Miss. Eleanor Ileen",female,1,1,1,347742,11.1333,,S,,1
174,no,Third,"Sivola, Mr. Antti Wilhelm",male,21,0,0,STON/O 2. 3101280,7.925,,S,,0
175,no,First,"Smith, Mr. James Clinch",male,56,0,0,17764,30.6958,A7,C,,0
176,no,Third,"Klasen, Mr. Klas Albin",male,18,1,1,350404,7.8542,,S,,0
177,no,Third,"Lefebre, Master. Henry Forbes",male,,3,1,4133,25.4667,,S,,0
178,no,First,"Isham, Miss. Ann Elizabeth",female,50,0,0,PC 17595,28.7125,C49,C,,0
179,no,Second,"Hale, Mr. Reginald",male,30,0,0,250653,13,,S,,0
180,no,Third,"Leonard, Mr. Lionel",male,36,0,0,LINE,0,,S,,0
181,no,Third,"Sage, Miss. Constance Gladys",female,,8,2,CA. 2343,69.55,,S,,0
182,no,Second,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131,15.05,,C,,0
183,no,Third,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2,347077,31.3875,,S,,0
184,yes,Second,"Becker, Master. Richard F",male,1,2,1,230136,39,F4,S,,1
185,yes,Third,"Kink-Heilmann, Miss. Luise Gretchen",female,4,0,2,315153,22.025,,S,,1
186,no,First,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,50,A32,S,,0
187,yes,Third,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0,370365,15.5,,Q,,1
188,yes,First,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45,0,0,111428,26.55,,S,,1
189,no,Third,"Bourke, Mr. John",male,40,1,1,364849,15.5,,Q,,0
190,no,Third,"Turcin, Mr. Stjepan",male,36,0,0,349247,7.8958,,S,,0
191,yes,Second,"Pinsky, Mrs. (Rosa)",female,32,0,0,234604,13,,S,,1
192,no,Second,"Carbines, Mr. William",male,19,0,0,28424,13,,S,,0
193,yes,Third,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,1,0,350046,7.8542,,S,,1
194,yes,Second,"Navratil, Master. Michel M",male,3,1,1,230080,26,F2,S,,1
195,yes,First,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0,PC 17610,27.7208,B4,C,,1
196,yes,First,"Lurette, Miss. Elise",female,58,0,0,PC 17569,146.5208,B80,C,,1
197,no,Third,"Mernagh, Mr. Robert",male,,0,0,368703,7.75,,Q,,0
198,no,Third,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1,4579,8.4042,,S,,0
199,yes,Third,"Madigan, Miss. Margaret ""Maggie""",female,,0,0,370370,7.75,,Q,,1
200,no,Second,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24,0,0,248747,13,,S,,0
201,no,Third,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0,345770,9.5,,S,,0
202,no,Third,"Sage, Mr. Frederick",male,,8,2,CA. 2343,69.55,,S,,0
203,no,Third,"Johanson, Mr. Jakob Alfred",male,34,0,0,3101264,6.4958,,S,,0
204,no,Third,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,,C,,0
205,yes,Third,"Cohen, Mr. Gurshon ""Gus""",male,18,0,0,A/5 3540,8.05,,S,,1
206,no,Third,"Strom, Miss. Telma Matilda",female,2,0,1,347054,10.4625,G6,S,,0
207,no,Third,"Backstrom, Mr. Karl Alfred",male,32,1,0,3101278,15.85,,S,,0
208,yes,Third,"Albimona, Mr. Nassef Cassem",male,26,0,0,2699,18.7875,,C,,1
209,yes,Third,"Carr, Miss. Helen ""Ellen""",female,16,0,0,367231,7.75,,Q,,1
210,yes,First,"Blank, Mr. Henry",male,40,0,0,112277,31,A31,C,,1
211,no,Third,"Ali, Mr. Ahmed",male,24,0,0,SOTON/O.Q. 3101311,7.05,,S,,0
212,yes,Second,"Cameron, Miss. Clear Annie",female,35,0,0,F.C.C. 13528,21,,S,,1
213,no,Third,"Perkin, Mr. John Henry",male,22,0,0,A/5 21174,7.25,,S,,0
214,no,Second,"Givard, Mr. Hans Kristensen",male,30,0,0,250646,13,,S,,0
215,no,Third,"Kiernan, Mr. Philip",male,,1,0,367229,7.75,,Q,,0
216,yes,First,"Newell, Miss. Madeleine",female,31,1,0,35273,113.275,D36,C,,1
217,yes,Third,"Honkanen, Miss. Eliina",female,27,0,0,STON/O2. 3101283,7.925,,S,,1
218,no,Second,"Jacobsohn, Mr. Sidney Samuel",male,42,1,0,243847,27,,S,,0
219,yes,First,"Bazzani, Miss. Albina",female,32,0,0,11813,76.2917,D15,C,,1
220,no,Second,"Harris, Mr. Walter",male,30,0,0,W/C 14208,10.5,,S,,0
221,yes,Third,"Sunderland, Mr. Victor Francis",male,16,0,0,SOTON/OQ 392089,8.05,,S,,1
222,no,Second,"Bracken, Mr. James H",male,27,0,0,220367,13,,S,,0
223,no,Third,"Green, Mr. George Henry",male,51,0,0,21440,8.05,,S,,0
224,no,Third,"Nenkoff, Mr. Christo",male,,0,0,349234,7.8958,,S,,0
225,yes,First,"Hoyt, Mr. Frederick Maxfield",male,38,1,0,19943,90,C93,S,,1
226,no,Third,"Berglund, Mr. Karl Ivar Sven",male,22,0,0,PP 4348,9.35,,S,,0
227,yes,Second,"Mellors, Mr. William John",male,19,0,0,SW/PP 751,10.5,,S,,1
228,no,Third,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,A/5 21173,7.25,,S,,0
229,no,Second,"Fahlstrom, Mr. Arne Jonas",male,18,0,0,236171,13,,S,,0
230,no,Third,"Lefebre, Miss. Mathilde",female,,3,1,4133,25.4667,,S,,0
231,yes,First,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0,36973,83.475,C83,S,,1
232,no,Third,"Larsson, Mr. Bengt Edvin",male,29,0,0,347067,7.775,,S,,0
233,no,Second,"Sjostedt, Mr. Ernst Adolf",male,59,0,0,237442,13.5,,S,,0
234,yes,Third,"Asplund, Miss. Lillian Gertrud",female,5,4,2,347077,31.3875,,S,,1
235,no,Second,"Leyson, Mr. Robert William Norman",male,24,0,0,C.A. 29566,10.5,,S,,0
236,no,Third,"Harknett, Miss. Alice Phoebe",female,,0,0,W./C. 6609,7.55,,S,,0
237,no,Second,"Hold, Mr. Stephen",male,44,1,0,26707,26,,S,,0
238,yes,Second,"Collyer, Miss. Marjorie ""Lottie""",female,8,0,2,C.A. 31921,26.25,,S,,1
239,no,Second,"Pengelly, Mr. Frederick William",male,19,0,0,28665,10.5,,S,,0
240,no,Second,"Hunt, Mr. George Henry",male,33,0,0,SCO/W 1585,12.275,,S,,0
241,no,Third,"Zabour, Miss. Thamine",female,,1,0,2665,14.4542,,C,,0
242,yes,Third,"Murphy, Miss. Katherine ""Kate""",female,,1,0,367230,15.5,,Q,,1
243,no,Second,"Coleridge, Mr. Reginald Charles",male,29,0,0,W./C. 14263,10.5,,S,,0
244,no,Third,"Maenpaa, Mr. Matti Alexanteri",male,22,0,0,STON/O 2. 3101275,7.125,,S,,0
245,no,Third,"Attalah, Mr. Sleiman",male,30,0,0,2694,7.225,,C,,0
246,no,First,"Minahan, Dr. William Edward",male,44,2,0,19928,90,C78,Q,,0
247,no,Third,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,0,0,347071,7.775,,S,,0
248,yes,Second,"Hamalainen, Mrs. William (Anna)",female,24,0,2,250649,14.5,,S,,1
249,yes,First,"Beckwith, Mr. Richard Leonard",male,37,1,1,11751,52.5542,D35,S,,1
250,no,Second,"Carter, Rev. Ernest Courtenay",male,54,1,0,244252,26,,S,,0
251,no,Third,"Reed, Mr. James George",male,,0,0,362316,7.25,,S,,0
252,no,Third,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1,347054,10.4625,G6,S,,0
253,no,First,"Stead, Mr. William Thomas",male,62,0,0,113514,26.55,C87,S,,0
254,no,Third,"Lobb, Mr. William Arthur",male,30,1,0,A/5. 3336,16.1,,S,,0
255,no,Third,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,0,2,370129,20.2125,,S,,0
256,yes,Third,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,2,2650,15.2458,,C,,1
257,yes,First,"Thorne, Mrs. Gertrude Maybelle",female,,0,0,PC 17585,79.2,,C,,1
258,yes,First,"Cherry, Miss. Gladys",female,30,0,0,110152,86.5,B77,S,,1
259,yes,First,"Ward, Miss. Anna",female,35,0,0,PC 17755,512.3292,,C,,1
260,yes,Second,"Parrish, Mrs. (Lutie Davis)",female,50,0,1,230433,26,,S,,1
261,no,Third,"Smith, Mr. Thomas",male,,0,0,384461,7.75,,Q,,0
262,yes,Third,"Asplund, Master. Edvin Rojj Felix",male,3,4,2,347077,31.3875,,S,,1
263,no,First,"Taussig, Mr. Emil",male,52,1,1,110413,79.65,E67,S,,0
264,no,First,"Harrison, Mr. William",male,40,0,0,112059,0,B94,S,,0
265,no,Third,"Henry, Miss. Delia",female,,0,0,382649,7.75,,Q,,0
266,no,Second,"Reeves, Mr. David",male,36,0,0,C.A. 17248,10.5,,S,,0
267,no,Third,"Panula, Mr. Ernesti Arvid",male,16,4,1,3101295,39.6875,,S,,0
268,yes,Third,"Persson, Mr. Ernst Ulrik",male,25,1,0,347083,7.775,,S,,1
269,yes,First,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,0,1,PC 17582,153.4625,C125,S,,1
270,yes,First,"Bissette, Miss. Amelia",female,35,0,0,PC 17760,135.6333,C99,S,,1
271,no,First,"Cairns, Mr. Alexander",male,,0,0,113798,31,,S,,0
272,yes,Third,"Tornquist, Mr. William Henry",male,25,0,0,LINE,0,,S,,1
273,yes,Second,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41,0,1,250644,19.5,,S,,1
274,no,First,"Natsch, Mr. Charles H",male,37,0,1,PC 17596,29.7,C118,C,,0
275,yes,Third,"Healy, Miss. Hanora ""Nora""",female,,0,0,370375,7.75,,Q,,1
276,yes,First,"Andrews, Miss. Kornelia Theodosia",female,63,1,0,13502,77.9583,D7,S,,1
277,no,Third,"Lindblom, Miss. Augusta Charlotta",female,45,0,0,347073,7.75,,S,,0
278,no,Second,"Parkes, Mr. Francis ""Frank""",male,,0,0,239853,0,,S,,0
279,no,Third,"Rice, Master. Eric",male,7,4,1,382652,29.125,,Q,,0
280,yes,Third,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,1,1,C.A. 2673,20.25,,S,,1
281,no,Third,"Duane, Mr. Frank",male,65,0,0,336439,7.75,,Q,,0
282,no,Third,"Olsson, Mr. Nils Johan Goransson",male,28,0,0,347464,7.8542,,S,,0
283,no,Third,"de Pelsmaeker, Mr. Alfons",male,16,0,0,345778,9.5,,S,,0
